"filename", "language", "YAML", "Dart", "Markdown", "HTML", "Swift", "JSON", "C++", "CMake", "XML", "Shell Script", "PowerShell", "Properties", "comment", "blank", "total"
"e:\code\r6box\r6box\windows\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 20, 109
"e:\code\r6box\r6box\windows\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 12, 110
"e:\code\r6box\r6box\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 4, 5, 12
"e:\code\r6box\r6box\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5, 6, 16
"e:\code\r6box\r6box\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"e:\code\r6box\r6box\windows\runner\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 7, 41
"e:\code\r6box\r6box\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 7, 16, 72
"e:\code\r6box\r6box\windows\runner\flutter_window.h", "C++", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 9, 34
"e:\code\r6box\r6box\windows\runner\main.cpp", "C++", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 4, 10, 44
"e:\code\r6box\r6box\windows\runner\resource.h", "C++", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 6, 2, 17
"e:\code\r6box\r6box\windows\runner\utils.cpp", "C++", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 2, 10, 66
"e:\code\r6box\r6box\windows\runner\utils.h", "C++", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 6, 6, 20
"e:\code\r6box\r6box\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 0, 0, 0, 210, 0, 0, 0, 0, 0, 24, 55, 289
"e:\code\r6box\r6box\windows\runner\win32_window.h", "C++", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 45, 12212, 638, 19, 59, 281, 540, 461, 470, 46, 60, 8, 1915, 2452, 19206
