"filename", "language", "Dart", "PowerShell", "Shell Script", "JavaScript", "YAML", "JSON", "HTML", "Markdown", "CMake", "C++", "Swift", "hetu", "XML", "Properties", "WebAssembly Text Format", "comment", "blank", "total"
"e:\code\r6box\r6box\lib\services\vfs_map_storage\vfs_map_data_migrator.dart", "Dart", 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 19, 126
"e:\code\r6box\r6box\lib\services\vfs_map_storage\vfs_map_database_adapter.dart", "Dart", 193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 39, 261
"e:\code\r6box\r6box\lib\services\vfs_map_storage\vfs_map_service.dart", "Dart", 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 12, 192
"e:\code\r6box\r6box\lib\services\vfs_map_storage\vfs_map_service_factory.dart", "Dart", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 45
"e:\code\r6box\r6box\lib\services\vfs_map_storage\vfs_map_service_impl.dart", "Dart", 1335, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 185, 1634
"e:\code\r6box\r6box\lib\services\vfs_map_storage\vfs_map_utils.dart", "Dart", 204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 36, 275
"e:\code\r6box\r6box\lib\services\virtual_file_system\vfs_database_initializer.dart", "Dart", 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 31, 202
"e:\code\r6box\r6box\lib\services\virtual_file_system\vfs_import_export_service.dart", "Dart", 587, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 92, 730
"e:\code\r6box\r6box\lib\services\virtual_file_system\vfs_permission_system.dart", "Dart", 368, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 80, 514
"e:\code\r6box\r6box\lib\services\virtual_file_system\vfs_protocol.dart", "Dart", 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 40, 232
"e:\code\r6box\r6box\lib\services\virtual_file_system\vfs_service_provider.dart", "Dart", 355, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 56, 452
"e:\code\r6box\r6box\lib\services\virtual_file_system\vfs_storage_service.dart", "Dart", 673, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 102, 831
"e:\code\r6box\r6box\lib\services\virtual_file_system\virtual_file_system.dart", "Dart", 433, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 81, 574
"e:\code\r6box\r6box\lib\services\web_database_importer.dart", "Dart", 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 13, 119
"e:\code\r6box\r6box\lib\services\web_database_preloader.dart", "Dart", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 14, 109
"e:\code\r6box\r6box\lib\utils\filename_sanitizer.dart", "Dart", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 13, 80
"e:\code\r6box\r6box\lib\utils\image_utils.dart", "Dart", 212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 32, 271
"e:\code\r6box\r6box\lib\utils\throttle_manager.dart", "Dart", 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 22, 159
"e:\code\r6box\r6box\lib\utils\web_download_helper.dart", "Dart", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 6, 42
"e:\code\r6box\r6box\lib\utils\web_download_helper_stub.dart", "Dart", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 15
"e:\code\r6box\r6box\lib\utils\web_download_utils.dart", "Dart", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 12, 102
"e:\code\r6box\r6box\linux\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 25, 129
"e:\code\r6box\r6box\linux\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 10, 89
"e:\code\r6box\r6box\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 4, 5, 36
"e:\code\r6box\r6box\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5, 6, 16
